Site,Observed,Predicted
1506,20,23.136711347235185
1507,6,23.351335379791887
1508,24,23.384194626498086
1509,11,23.166706900873255
1544,26,24.91420099748148
1545,15,24.718965544078422
1546,23,24.833663546080807
1547,30,25.071568579318722
1548,7,24.7472170660385
1549,27,25.420623515806856
1550,4,25.882638746589155
1551,10,25.579867633875594
1552,27,25.394336039564493
1553,11,24.76397141282539
1554,14,25.050217905528257
1579,14,26.77169348186862
1580,8,15.754150408253912
1594,31,15.467544037028444
1595,15,17.15421461466124
1596,7,17.363978554044916
1597,8,17.301769592559264
1598,11,17.898058475443843
1617,2,17.816053918165213
1618,28,17.735795133755136
1619,9,17.55948166751772
1620,1,17.78575537606574
1627,22,17.693419555034684
1628,17,17.542208002384477
1629,18,17.637508527325803
1630,19,17.940366717775433
1631,14,17.71638874867586
1632,19,17.61948744583351
1633,21,17.5411311694399
1634,14,15.66469607926836
1635,24,15.75479966397746
1636,16,16.295319491255285
1680,13,14.909698228337355
1681,21,14.891005458827674
1682,3,14.624117589716672
1683,12,14.48918978645927
1707,13,14.909841706622851
1708,27,14.933897539165539
1709,19,14.847066528585586
1710,10,14.925433726810857
1711,17,15.32606211932767
1712,17,15.479000624811757
1713,5,15.561677856975571
1714,24,14.719183532469446
1715,18,14.242267188583384
1716,13,14.576993761574888
1717,24,14.776222185302448
1718,20,14.734349323744793
1719,9,15.052477837753647
1720,24,14.659217461815242
1721,18,14.856584481853183
1722,14,14.883001495447191
1723,20,15.074781965001005
1724,24,14.81458153296629
1725,5,15.916950002041297
1726,26,16.325779981564963
1727,20,15.495697631177977
1758,26,14.658354295946038
1759,6,14.893121145924603
1760,13,14.86965602338057
1761,21,13.78020701115625
1762,6,14.779015078810684
1769,5,14.209026046182917
1770,11,14.234086816931388
1782,22,14.009089674472966
1783,6,14.052295893895842
1784,20,14.210652381366543
1785,16,14.115578348211043
1804,24,13.931919638872806
1805,11,14.420611304110519
1806,7,14.426067309567685
1807,23,14.328572011256547
1808,4,14.19297657796119
1823,23,16.816444686623115
1824,19,15.706170805562927
